year;country;house;party_long;party_short;seats;government;colour
2017;Kosovo;Parlament;Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës;PAN;39;1;#1f78b4
2017;Kosovo;Parlament;LËVIZJA VETËVENDOSJE!;LVV;32;0;#e31a1c
2017;Kosovo;Parlament;LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE;LDK-AKR;29;0;#a6cee3
2017;Kosovo;Parlament;MINORITETET;MINORITETET;20;0;#fdbf6f
2019;Kosovo;Parlament;;LVV;20;0;#e31a1c
2019;Kosovo;Parlament;;LDK;24;0;#a6cee3
2019;Kosovo;Parlament;;PDK;22;0;#1f78b4
2019;Kosovo;Parlament;;AAK-PSD;26;1;#fb9a99
2019;Kosovo;Parlament;;NISMA-AKR-PD;8;0;#33a02c
2019;Kosovo;Parlament;;ALTERNATIVA;0;0;
2019;Kosovo;Parlament;;MINORITETET;20;0;#fdbf6f
